timestamp,datetime,threat_level,detections_count,max_confidence,labels,frame_number
1781086469.811,2026-06-10 15:14:29,WARNING,2,0.711,SMOKE|SMOKE,50
1781086469.999,2026-06-10 15:14:29,WARNING,1,0.697,SMOKE,51
1781086470.079,2026-06-10 15:14:30,WARNING,3,0.773,SMOKE|SMOKE|SMOKE,52
1781086470.148,2026-06-10 15:14:30,WARNING,2,0.782,SMOKE|SMOKE,53
1781086470.196,2026-06-10 15:14:30,WARNING,1,0.716,SMOKE,54
1781086470.274,2026-06-10 15:14:30,WARNING,1,0.724,SMOKE,55
1781086470.328,2026-06-10 15:14:30,WARNING,1,0.728,SMOKE,56
1781086470.400,2026-06-10 15:14:30,WARNING,1,0.741,SMOKE,57
1781086470.460,2026-06-10 15:14:30,WARNING,1,0.733,SMOKE,58
1781086470.510,2026-06-10 15:14:30,WARNING,1,0.732,SMOKE,59
1781086470.579,2026-06-10 15:14:30,WARNING,2,0.741,SMOKE|SMOKE,60
1781086470.635,2026-06-10 15:14:30,WARNING,2,0.742,SMOKE|SMOKE,61
1781086470.695,2026-06-10 15:14:30,WARNING,3,0.741,FIRE|SMOKE|SMOKE,62
1781086470.753,2026-06-10 15:14:30,WARNING,2,0.737,SMOKE|SMOKE,63
1781086470.820,2026-06-10 15:14:30,WARNING,2,0.703,SMOKE|SMOKE,64
1781086470.878,2026-06-10 15:14:30,WARNING,4,0.702,FIRE|SMOKE|SMOKE|SMOKE,65
1781086470.940,2026-06-10 15:14:30,WARNING,2,0.737,SMOKE|SMOKE,66
1781086470.979,2026-06-10 15:14:30,WARNING,2,0.735,SMOKE|SMOKE,67
1781086471.054,2026-06-10 15:14:31,WARNING,3,0.701,SMOKE|SMOKE|SMOKE,68
1781086471.117,2026-06-10 15:14:31,WARNING,2,0.738,SMOKE|SMOKE,69
1781086471.160,2026-06-10 15:14:31,WARNING,2,0.740,SMOKE|SMOKE,70
1781086471.240,2026-06-10 15:14:31,WARNING,2,0.739,SMOKE|SMOKE,71
1781086471.283,2026-06-10 15:14:31,WARNING,2,0.740,SMOKE|SMOKE,72
1781086471.349,2026-06-10 15:14:31,WARNING,2,0.739,SMOKE|SMOKE,73
1781086471.404,2026-06-10 15:14:31,WARNING,2,0.736,SMOKE|SMOKE,74
1781086471.465,2026-06-10 15:14:31,WARNING,2,0.736,SMOKE|SMOKE,75
1781086471.535,2026-06-10 15:14:31,WARNING,2,0.725,SMOKE|SMOKE,76
1781086471.576,2026-06-10 15:14:31,WARNING,3,0.728,SMOKE|SMOKE|SMOKE,77
1781086471.635,2026-06-10 15:14:31,WARNING,1,0.726,SMOKE,78
1781086471.708,2026-06-10 15:14:31,WARNING,1,0.550,SMOKE,79
1781086474.104,2026-06-10 15:14:34,WARNING,1,0.561,SMOKE,119
1781086474.224,2026-06-10 15:14:34,WARNING,1,0.633,SMOKE,120
1781086474.293,2026-06-10 15:14:34,WARNING,1,0.698,SMOKE,121
1781086474.343,2026-06-10 15:14:34,WARNING,1,0.773,SMOKE,122
1781086474.370,2026-06-10 15:14:34,WARNING,2,0.779,SMOKE|SMOKE,123
1781086474.401,2026-06-10 15:14:34,WARNING,2,0.775,SMOKE|SMOKE,124
1781086474.461,2026-06-10 15:14:34,WARNING,2,0.706,SMOKE|SMOKE,125
1781086474.505,2026-06-10 15:14:34,WARNING,2,0.671,SMOKE|SMOKE,126
1781086474.569,2026-06-10 15:14:34,WARNING,2,0.611,SMOKE|SMOKE,127
1781086474.618,2026-06-10 15:14:34,WARNING,2,0.614,SMOKE|SMOKE,128
1781086474.686,2026-06-10 15:14:34,WARNING,2,0.559,SMOKE|SMOKE,129
1781086474.750,2026-06-10 15:14:34,WARNING,2,0.576,SMOKE|SMOKE,130
1781086474.813,2026-06-10 15:14:34,WARNING,2,0.567,SMOKE|SMOKE,131
1781086474.850,2026-06-10 15:14:34,WARNING,1,0.563,SMOKE,132
1781086474.930,2026-06-10 15:14:34,WARNING,1,0.552,SMOKE,133
1781086474.999,2026-06-10 15:14:34,WARNING,1,0.540,SMOKE,134
1781086475.050,2026-06-10 15:14:35,WARNING,1,0.717,SMOKE,135
1781086475.117,2026-06-10 15:14:35,WARNING,1,0.567,SMOKE,136
1781086475.167,2026-06-10 15:14:35,WARNING,1,0.801,SMOKE,137
1781086475.236,2026-06-10 15:14:35,WARNING,3,0.794,SMOKE|SMOKE|SMOKE,138
1781086475.303,2026-06-10 15:14:35,WARNING,3,0.734,SMOKE|SMOKE|SMOKE,139
1781086475.347,2026-06-10 15:14:35,WARNING,4,0.725,SMOKE|SMOKE|SMOKE|SMOKE,140
1781086475.403,2026-06-10 15:14:35,WARNING,3,0.721,SMOKE|SMOKE|SMOKE,141
1781086475.462,2026-06-10 15:14:35,WARNING,4,0.736,SMOKE|SMOKE|SMOKE|SMOKE,142
1781086475.523,2026-06-10 15:14:35,WARNING,4,0.741,SMOKE|SMOKE|SMOKE|SMOKE,143
1781086475.586,2026-06-10 15:14:35,WARNING,4,0.647,SMOKE|SMOKE|SMOKE|SMOKE,144
1781086475.649,2026-06-10 15:14:35,WARNING,3,0.629,SMOKE|SMOKE|SMOKE,145
1781086475.709,2026-06-10 15:14:35,WARNING,2,0.725,SMOKE|SMOKE,146
1781086475.774,2026-06-10 15:14:35,WARNING,2,0.830,SMOKE|SMOKE,147
1781086475.833,2026-06-10 15:14:35,WARNING,2,0.619,SMOKE|SMOKE,148
1781086475.893,2026-06-10 15:14:35,WARNING,1,0.572,SMOKE,149
1781086475.961,2026-06-10 15:14:35,WARNING,1,0.607,SMOKE,150
1781086475.986,2026-06-10 15:14:35,WARNING,1,0.603,SMOKE,151
1781086476.070,2026-06-10 15:14:36,WARNING,1,0.570,SMOKE,152
1781086476.896,2026-06-10 15:14:36,WARNING,2,0.721,SMOKE|SMOKE,164
1781086676.549,2026-06-10 15:17:56,WARNING,1,0.780,SMOKE,26
1781086676.734,2026-06-10 15:17:56,WARNING,5,0.674,SMOKE|SMOKE|SMOKE|SMOKE|SMOKE,27
1781086676.818,2026-06-10 15:17:56,WARNING,5,0.726,SMOKE|SMOKE|SMOKE|SMOKE|SMOKE,28
1781086676.877,2026-06-10 15:17:56,WARNING,5,0.678,SMOKE|SMOKE|SMOKE|SMOKE|SMOKE,29
1781086676.924,2026-06-10 15:17:56,WARNING,2,0.720,SMOKE|SMOKE,30
1781086677.039,2026-06-10 15:17:57,WARNING,2,0.731,SMOKE|SMOKE,31
1781086677.090,2026-06-10 15:17:57,WARNING,1,0.753,SMOKE,32
1781086677.138,2026-06-10 15:17:57,WARNING,1,0.753,SMOKE,33
1781086677.192,2026-06-10 15:17:57,WARNING,1,0.745,SMOKE,34
1781086677.263,2026-06-10 15:17:57,WARNING,2,0.758,SMOKE|SMOKE,35
1781086677.305,2026-06-10 15:17:57,WARNING,3,0.758,SMOKE|SMOKE|SMOKE,36
1781086677.369,2026-06-10 15:17:57,WARNING,3,0.751,SMOKE|SMOKE|SMOKE,37
1781086677.441,2026-06-10 15:17:57,WARNING,3,0.761,SMOKE|SMOKE|SMOKE,38
1781086677.499,2026-06-10 15:17:57,WARNING,2,0.762,SMOKE|SMOKE,39
1781086677.543,2026-06-10 15:17:57,WARNING,3,0.762,SMOKE|SMOKE|SMOKE,40
1781086677.627,2026-06-10 15:17:57,WARNING,3,0.754,SMOKE|SMOKE|SMOKE,41
1781086677.680,2026-06-10 15:17:57,WARNING,2,0.739,SMOKE|SMOKE,42
1781086677.733,2026-06-10 15:17:57,WARNING,4,0.732,SMOKE|SMOKE|SMOKE|SMOKE,43
